app_name,reviewId,userName,content,score,at,clean_text,polarity,subjectivity,sentiment,watch_hours,sessions_per_week,subscription_age_months,sentiment_score,churn,predicted_churn_log,predicted_churn_rf
Netflix,6be5fbd7-17e7-4356-8986-f2d89468353f,Jake Hendel,"Let people use an account within the same family! You will lose subscribers like myself, not gain an additional, if you continue to enforce this awful junk.",2,03-11-2025 09:00,let people use account within family lose subscriber like gain additional continue enforce awful junk,-1.0,1.0,Negative,37,6,6,-1.0,1,0,0
Netflix,656a4bb4-e139-49fe-aa42-fe6a1c5ca5f1,Donna Shields,"Full 4K movies, ULTRA HD 2160P movies",5,03-11-2025 08:58,full k movie ultra hd p movie,0.35,0.55,Positive,29,6,8,0.35,0,0,1
Netflix,f41adab4-a852-4ace-b8f3-2b485d812eea,Dawn Espinoza,"what is the point of paying subscription when every episodes needs to be stopped. and won't turn up after closing this app for about tenth times. tsk! and the endings are mostly unsatisfying. not working properly, glitches none stop.",1,03-11-2025 08:36,point paying subscription every episode need stopped wont turn closing app tenth time tsk ending mostly unsatisfying working properly glitch none stop,0.25,0.3,Positive,18,2,18,0.25,0,1,0
Netflix,f0fbdf25-6cd9-4ac0-807a-7e67e7f87e25,Catalin Sebe,"cant wath at night, retina is burning, incompetent developers overriding brightness controls",1,03-11-2025 08:07,cant wath night retina burning incompetent developer overriding brightness control,-0.35,0.3666666666666667,Negative,27,7,12,-0.35,1,1,1
Netflix,ada04543-0241-465f-856c-5b1404073f59,Randall Eleazar Dumapal,please fix the error 5.10,1,03-11-2025 07:55,please fix error,0.0,0.0,Neutral,31,9,17,0.0,0,1,1
Netflix,c2a46d19-dcbe-4150-93a1-2dae5157f79b,Almer Miranda,"Still deducted my money account even i am not subscriber, what a scam",1,03-11-2025 07:48,still deducted money account even subscriber scam,0.0,0.0,Neutral,46,4,21,0.0,0,0,0
Netflix,8a63b274-a976-4c64-89a2-f1aee9af128b,stefbxtr Baxter,"I love Netflix program options, but I hate the app. It works fairly well during the day, but in the evenings the app freezes, it stops and shuts off completely. I can't even watch it in the evenings because it messes up every few minutes. It is so frustrating!",1,03-11-2025 07:27,love netflix program option hate app work fairly well day evening app freeze stop shuts completely cant even watch evening mess every minute frustrating,-0.01250000000000002,0.6458333333333333,Neutral,33,8,4,-0.01250000000000002,0,1,0
Netflix,e2a3b331-990e-4ed6-a4f3-9bdf689f7a80,"Rose,s GT",man bro my favorite show on it use to be chip and potato and now it is squid game man,5,03-11-2025 07:21,man bro favorite show use chip potato squid game man,0.04999999999999999,0.7,Neutral,17,3,20,0.04999999999999999,0,0,0
Netflix,b7d2e113-313f-45ed-b86e-7b3350803842,Lei Dela Gracia,"I hope Netflix allows us users of Netflix to create a folder and sort all the series, anime, movies we watched, instead of storing all in the list, like we have some option to create a folder on our profile and sort all in our choice.",5,03-11-2025 06:15,hope netflix allows u user netflix create folder sort series anime movie watched instead storing list like option create folder profile sort choice,0.0,0.0,Neutral,4,4,9,0.0,1,0,0
Netflix,25043ae3-e3c0-44f7-86e5-6d21f466da27,Daniel Masters,No longer entertaining.,1,03-11-2025 06:03,longer entertaining,0.5,0.7,Positive,43,1,21,0.5,0,0,0
Netflix,e0e1c8e6-270c-4817-8ea6-ab143c100084,Cynthia Gitau,so good I love the person that make the app ❤️❤️💖💖❤️💖❤️💖❤️💖💕🔥💯😜😍🤩🥳🥰🌹,5,03-11-2025 05:44,good love person make app,0.6,0.6000000000000001,Positive,21,4,13,0.6,0,1,0
Netflix,e86abb47-1381-431f-969b-643e5bb242df,Leah,It's good,5,03-11-2025 05:41,good,0.7,0.6000000000000001,Positive,1,8,21,0.7,1,0,0
Netflix,b77cc122-be06-4b62-95b6-a6961ee25470,John Flanders,shifty the app logs me out then when I sign in it comes up with Spanish and I have a profile lock that requires a pin number that I never assigned to it,1,03-11-2025 05:22,shifty app log sign come spanish profile lock requires pin number never assigned,0.0,0.0,Neutral,6,6,20,0.0,1,0,1
Netflix,aecd4481-2127-4733-ae10-75caab9fa660,DUSHIME David,it's lowest brightness level is too high for me.,1,03-11-2025 05:17,lowest brightness level high,0.16,0.54,Positive,30,9,8,0.16,0,1,1
Netflix,42e2bd28-a099-49ae-bf56-0c29ae808336,Amayiah Harris,good the best app I have used to watch a movie,5,03-11-2025 05:16,good best app used watch movie,0.85,0.45000000000000007,Positive,30,9,3,0.85,0,0,0
Netflix,288b42ff-fa4b-47ef-bd65-3d8d4a0eeb01,Emilia Hart,not interested,1,03-11-2025 05:15,interested,0.25,0.5,Positive,28,2,4,0.25,0,0,1
Netflix,fd746f75-98d5-4fa8-af28-8acf8a8731fa,Betty Scranton,Netflix is the best really like it alot thanks for all the great shows.,5,03-11-2025 04:49,netflix best really like alot thanks great show,0.55,0.3625,Positive,17,7,20,0.55,0,0,1
Netflix,dcebfd15-b9fc-4975-8941-84441a17a226,Masetshaba Mapitse Motshekga,"why can't I see everything on my netflix, even now there is a new show in South Africa called bad influence and I can't see it when I search for it? what's wrong with my Netflix?",1,03-11-2025 04:49,cant see everything netflix even new show south africa called bad influence cant see search whats wrong netflix,-0.3545454545454545,0.6737373737373736,Negative,11,5,8,-0.3545454545454545,1,1,1
Netflix,d17b4c23-93f1-426b-b858-9d28ef2a0cef,Keisha Kornegay,all good,5,03-11-2025 04:35,good,0.7,0.6000000000000001,Positive,12,6,21,0.7,0,0,0
Netflix,9e749d7e-d729-4cec-9a72-da592f2370de,Graicen Hall,"they blocked me from accessing my account on the only device I was logged in on. they took my money and provided no service, this is theft",1,03-11-2025 03:58,blocked accessing account device logged took money provided service theft,0.0,0.0,Neutral,40,1,11,0.0,0,1,1
Netflix,65064630-35be-47c9-a695-5d346a6a2ac5,samantha,"Its an amazing app for entertainment but I just have one problem with it, when I want to download a series it throws up this error message of how the account has too many downloads on it, maybe increase the download limit with a bigger cost (with the option of choosing whether the person wants to have more download availability) if that makes sense? Only if you are able to , of course.",4,03-11-2025 03:54,amazing app entertainment one problem want download series throw error message account many downloads maybe increase download limit bigger cost option choosing whether person want download availability make sense able course,0.4,0.63125,Positive,35,8,16,0.4,0,1,1
Netflix,8581ee12-accf-4b57-bf4e-daa4f5102ef5,Peter Oladejo,I love this app it a very good platform for movies,5,03-11-2025 03:51,love app good platform movie,0.6,0.6000000000000001,Positive,40,5,22,0.6,0,1,0
Netflix,9ca9f0e7-8cbc-4331-9287-af0aab3024bd,Laciesreality Show,horrible they only let one person use it on one wifi,1,03-11-2025 02:40,horrible let one person use one wifi,-1.0,1.0,Negative,39,7,5,-1.0,1,1,1
Netflix,15938d0b-6015-462d-be6e-d53fc64fdeb1,Stephen Tye,wanted to watch ONE show on my phone and I'm forced to install an app to do it because apparently the website won't work on a phone Now Ill have to uninstall another useless app I'll never use again!,1,03-11-2025 02:38,wanted watch one show phone im forced install app apparently website wont work phone ill uninstall another useless app ill never use,-0.35,0.55,Negative,44,5,6,-0.35,1,1,1
Netflix,e86b8d2d-19eb-4798-b94f-c0c4687463a6,Clive F,The app needs work. Downloaded quality and streamed on phone isn't great.,3,03-11-2025 02:29,app need work downloaded quality streamed phone isnt great,0.8,0.75,Positive,28,5,2,0.8,0,0,1
Netflix,f910cb58-599b-4da9-818b-58ee22fd6068,iffer,"The app is pretty much useless on a phone. I can't cast to a bigger screen, trying to watch anything on a tiny phone screen is ridiculous, especially if you need captions, and at that point why even bother having the app? For a tablet it's not much better.",1,03-11-2025 01:21,app pretty much useless phone cant cast bigger screen trying watch anything tiny phone screen ridiculous especially need caption point even bother app tablet much better,-0.011904761904761894,0.6714285714285715,Neutral,16,3,14,-0.011904761904761894,0,0,1
Netflix,8856160f-28ca-4f32-8b96-faeeaad09fe4,Taszhmar Waker,i dont know but its just excellent,5,03-11-2025 01:18,dont know excellent,1.0,1.0,Positive,14,6,20,1.0,0,1,1
Netflix,184f4a4f-0628-4ac5-8672-629098887c13,Kayleigh Mulder,"Usless now that they force you to still log in onto the Chromecast app, instead of just being able to cast from your phone, even if you're a paying customer.",1,03-11-2025 00:58,usless force still log onto chromecast app instead able cast phone even youre paying customer,0.5,0.625,Positive,19,9,14,0.5,0,1,1
Netflix,0f0a3719-e314-4813-a125-4c3056460932,Bilal Rana,I am here to Say plz guys Download MovieBox from your browser or Palm storm and avoid this Netflix as there content is no more. Few movie and few series with there changings like witcher season 4. I have just uninstall it while movie bozx is free and have almost Al movie and serials .,1,03-11-2025 00:47,say plz guy download moviebox browser palm storm avoid netflix content movie series changings like witcher season uninstall movie bozx free almost al movie serial,0.4,0.8,Positive,49,8,21,0.4,0,0,0
Netflix,e9455d0a-41ea-40f3-9a19-3085fb0eaf6e,Lloyd Rick Guyon,"Terrible app. You'd expect an app of a billion-dollar company to work flawlessly. But no, you get an app that refuses to play the content you want to watch, and requires you to retry 20x, restart the app, then try 20 more times, before rebooting, to try another 20x, after which it says there are too many people watching on the same device you can't watch on, so you clear all app data, uninstall all other apps, eventually resetting your phone. Nothing compared to good old TV.",1,02-11-2025 23:50,terrible app youd expect app billiondollar company work flawlessly get app refuse play content want watch requires retry x restart app try time rebooting try another x say many people watching device cant watch clear app data uninstall apps eventually resetting phone nothing compared good old tv,0.2333333333333333,0.6138888888888889,Positive,49,7,13,0.2333333333333333,0,1,1
Netflix,b534f88b-00d2-4ec7-8f41-58cdbe6ce750,HAMID SHAIKH,impressive,5,02-11-2025 23:39,impressive,1.0,1.0,Positive,49,9,6,1.0,0,0,1
Netflix,ce6c9a2d-a128-4968-8cda-f71b6723c636,Amechi Promise,add more interactive stories game to d app,2,02-11-2025 23:36,add interactive story game app,-0.4,0.4,Negative,46,7,4,-0.4,1,0,0
Netflix,fd574435-cb3a-4b0f-9f75-894194ac2baa,Yolandi Van Wyk,fast and reliable,5,02-11-2025 23:31,fast reliable,0.2,0.6,Positive,7,1,13,0.2,1,1,0
Netflix,1ba6246e-95fe-4f56-b0d5-5d072ec86bc5,rinie rufaidah,good,5,02-11-2025 23:30,good,0.7,0.6000000000000001,Positive,10,2,10,0.7,0,0,1
Netflix,5596090e-c9ba-4fb4-84d3-8bd7a95ca10d,Arghya Chakraborty,wonderful app....my binge friend....helps me always..,5,02-11-2025 23:21,wonderful appmy binge friendhelps always,1.0,1.0,Positive,25,6,4,1.0,0,0,0
Netflix,851478b1-c820-4b91-ab05-cf5af61fbdd2,Joseph Lartey,Videos are not playing. have been loading indefinitely,2,02-11-2025 23:20,video playing loading indefinitely,0.0,0.0,Neutral,37,4,1,0.0,0,1,0
Netflix,4a4fd75a-82d4-49b8-a16f-4354c8324c78,Aaniya khan,👍🏻,4,02-11-2025 23:04,,0.0,0.0,Neutral,31,6,11,0.0,0,0,0
Netflix,c01b9d5f-23eb-47cb-80c7-bbd56b0a6b5d,idiris ـُّٓ,good icl,5,02-11-2025 22:59,good icl,0.7,0.6000000000000001,Positive,15,7,23,0.7,0,0,0
Netflix,2cb8deeb-e859-499b-ae19-9965c9d40a70,Kumar,worst app,1,02-11-2025 22:57,worst app,-1.0,1.0,Negative,9,8,16,-1.0,1,0,1
Netflix,e251dfcc-b356-4fda-889e-026a24c09aa1,SAILAJA RANGINEEDI,movies not opening,1,02-11-2025 22:52,movie opening,0.0,0.0,Neutral,25,1,3,0.0,0,0,0
Netflix,02957cba-229f-4b4b-beac-e77e20f2f3a3,Sourav Nimesh,"Using Galaxy S24 (Snapdragon 8 Gen 3) with HDR10+ support, yet Netflix only plays in Full HD SDR. Other apps like YouTube and Prime Video show HDR perfectly. Paying for a 4K plan but not getting HDR on a flagship phone is disappointing. Please fix HDR support for Galaxy S24 series soon",1,02-11-2025 22:46,using galaxy snapdragon gen hdr support yet netflix play full hd sdr apps like youtube prime video show hdr perfectly paying k plan getting hdr flagship phone disappointing please fix hdr support galaxy series soon,0.25000000000000006,0.75,Positive,45,8,11,0.25000000000000006,0,0,0
Netflix,093eb26e-856b-426b-9830-ef9973b55003,Deepak Gupta,it is not allowing us to browse videos,1,02-11-2025 22:06,allowing u browse video,0.0,0.0,Neutral,42,7,14,0.0,0,0,0
Netflix,3de44159-cf4c-47f7-bb6e-e3319a7d2977,Siva Kumar,good,4,02-11-2025 22:05,good,0.7,0.6000000000000001,Positive,7,7,19,0.7,1,0,1
Netflix,9caf2df2-351a-434a-8866-0bba6a525aac,Prakash Singh Sajwan,Feedback of your customer care support: You and your team should have some more knowledge on the wwe event(saturday night main event). It seems you and your team knows nothing about these events. Asking the same question again and again .It seems Sony took the rights of this event 😂. It is on Sony liv app. Then netflix is not useful for any more.,1,02-11-2025 22:05,feedback customer care support team knowledge wwe eventsaturday night main event seems team know nothing event asking question seems sony took right event sony liv app netflix useful,0.2507936507936508,0.2896825396825397,Positive,13,7,10,0.2507936507936508,0,0,0
Netflix,fb18a0ce-23fb-4334-80c4-43bb1fa5b06a,Subhankar Dalai,Good also 😊 I love it every movie was outstanding,4,02-11-2025 21:43,good also love every movie outstanding,0.5666666666666667,0.6916666666666668,Positive,28,9,8,0.5666666666666667,0,0,1
Netflix,a65ef225-65ca-4b33-9514-a9adcc189797,Peace Monanu,excellent,5,02-11-2025 21:32,excellent,1.0,1.0,Positive,20,5,12,1.0,0,0,0
Netflix,3c6b6955-2f47-42c3-a5ce-0bf2b87292cc,You Tube Aj,"it was a most wastage platform in the word I will delete this app because I am trying to sign in but it is not signing in, it is giving warning ⚠️ ⚠️ ⚠️ ⚠️⚠️And the warning is this, something went wrong, please try again later, so I will definitely delete this rubbish app 🤬🤬🤬🤬🤬, this app has wasted my maximum time.",1,02-11-2025 21:26,wastage platform word delete app trying sign signing giving warning warning something went wrong please try later definitely delete rubbish app app wasted maximum time,-0.175,0.35,Negative,15,9,18,-0.175,1,0,1
Netflix,1ebccca1-8be0-4be1-bd83-d3113c360a9c,Barnabás Szolga,the movies here are good but i personally dont like the fact that netflix deletes almost all the best ones yet. i dont understand why they do this but for gods sake bring thw good movies back and stop removing them.,2,02-11-2025 21:21,movie good personally dont like fact netflix deletes almost best one yet dont understand god sake bring thw good movie back stop removing,0.48,0.36000000000000004,Positive,3,1,4,0.48,1,0,1
Netflix,0c2cf898-ac0c-4128-8e30-e2e02f08ed86,Lara Al-Ashkar,مقاطعة,1,02-11-2025 20:58,,0.0,0.0,Neutral,12,4,9,0.0,0,0,1
Netflix,4d3e39f0-18bc-4b4b-aecd-8847d1e4338c,Rick soundgod,cant update,1,02-11-2025 20:55,cant update,0.0,0.0,Neutral,48,8,6,0.0,0,1,1
Netflix,1cbd9e78-3b3e-48d5-bf33-9c85a486be8f,Mike Skulsky,can't download things on Pixel tablet because it can't detect internal storage and gives me an sd card error (I don't use an SD card). Support didn't even try to help. Awful customer service,1,02-11-2025 20:52,cant download thing pixel tablet cant detect internal storage give sd card error dont use sd card support didnt even try help awful customer service,-0.5,0.5,Negative,37,5,12,-0.5,1,1,1
Netflix,3129c474-539d-447c-9c90-cd2b7da2eced,Tahreem Zahid,"videos no longer playing, keep loading",1,02-11-2025 20:52,video longer playing keep loading,0.0,0.0,Neutral,26,5,15,0.0,0,0,0
Netflix,54575bcf-6c96-4c92-985f-daaf8c3e13d5,Lailah Weaver,Don't remove reba from your show its the only show that make Netflix good,1,02-11-2025 20:51,dont remove reba show show make netflix good,0.7,0.6000000000000001,Positive,21,6,11,0.7,0,0,0
Netflix,87a64b69-2a3f-483b-9059-cd2707c2d5de,And peace,"I cancelled my account in may ready to end in June, another payment was taken for another month, now had to cancel again. I've checked devices logged in section and states the clock was 1 hour behind UK time logged in session, what is this please, this has updated payment on my bank app , for 10 payments, I don't have an account with you anymore",1,02-11-2025 20:51,cancelled account may ready end june another payment taken another month cancel ive checked device logged section state clock hour behind uk time logged session please updated payment bank app payment dont account anymore,-0.1,0.6,Negative,37,6,12,-0.1,1,1,1
Netflix,7ca3e1bb-8ea0-449a-ab90-60da461aba7b,dylan sullivan,"⭐️⭐️⭐️⭐️ Netflix remains one of my favourite platforms for movies and documentaries — easy to use, reliable, and always there when I need to unwind. The range of content is great, but I’ve noticed lately that many titles disappear too quickly, and the search function can be frustrating when trying to find older classics or niche genres. Still, it’s a solid streaming service overall — just wish they’d improve content rotation and make it easier to browse everything that’s actually available.",4,02-11-2025 20:44,netflix remains one favourite platform movie documentary easy use reliable always need unwind range content great ive noticed lately many title disappear quickly search function frustrating trying find older classic niche genre still solid streaming service overall wish theyd improve content rotation make easier browse everything thats actually available,0.21818181818181823,0.4075757575757576,Positive,28,7,1,0.21818181818181823,0,0,0
Netflix,58d108d3-8ec7-4474-a892-f8cbda73d037,Sudiksha Rani,"This app is very bad 😞 cuz I have no dollars to buy it but I see the sign in button than I click it and there has a problem so I decided to go to Google and when I searched that to sign-in in Netflix does it take dollars and than boom 🤯💥 Google is saying yes 'bruh' and you know what I do, I leave the Netflix",1,02-11-2025 20:41,app bad cuz dollar buy see sign button click problem decided go google searched signin netflix take dollar boom google saying yes bruh know leave netflix,-0.6999999999999998,0.6666666666666666,Negative,15,1,22,-0.6999999999999998,1,0,1
Netflix,dac03053-1135-4532-9c55-739bb63f1a9c,Poonam Sharma,So bad,1,02-11-2025 20:34,bad,-0.6999999999999998,0.6666666666666666,Negative,10,9,10,-0.6999999999999998,1,1,1
Netflix,57b48aa0-9159-44b8-9a11-3f2354201607,nagendra kodi,only one payment option autopay worst option,1,02-11-2025 20:15,one payment option autopay worst option,-1.0,1.0,Negative,3,2,10,-1.0,1,0,1
Netflix,89a353f6-d763-47d9-9572-3812a759d931,Ashish Singh,you can fix my 5.8 problem,1,02-11-2025 20:11,fix problem,0.0,0.0,Neutral,4,5,9,0.0,1,0,1
Netflix,2053d704-2049-4bae-abcf-225014f983b4,Shaun Greenbank,quality,5,02-11-2025 20:08,quality,0.0,0.0,Neutral,16,9,16,0.0,0,0,0
Netflix,1f260523-6f81-40b7-a53c-a2090943b4fd,Raja Moiz,Good to watch!!✨♥️,5,02-11-2025 20:00,good watch,0.7,0.6000000000000001,Positive,27,5,23,0.7,0,0,0
Netflix,e01ebda7-9f5e-48d8-9b3c-96a3e0048971,Abhijith NH,worst experience,1,02-11-2025 19:53,worst experience,-1.0,1.0,Negative,22,4,16,-1.0,1,0,1
Netflix,4b1a8239-0237-43a1-aee3-daaa481cf520,Korleon Palmer (KPyall),"The app used to work fine on my phone, but now, it just opens to a black screen. Waited a few minutes, and still nothing. I like Netflix, but this sucks.",2,02-11-2025 19:49,app used work fine phone open black screen waited minute still nothing like netflix suck,0.08333333333333333,0.4777777777777778,Positive,20,2,19,0.08333333333333333,0,1,0
Netflix,9aad03d7-da46-41b0-98a9-094fb7395a87,Baiba Leitane,"keep getting error 5.10 and rarely does any video actually play. this is despite the fact that cache has been cleaned, app updated and phone restarted.",2,02-11-2025 19:48,keep getting error rarely video actually play despite fact cache cleaned app updated phone restarted,0.15,0.5,Positive,46,8,19,0.15,0,1,1
Netflix,3389bd61-5581-42e8-8647-eafa8453adfd,Aliff Sabri,Really greedy. Back to pirate maybe. Ahoyyy,1,02-11-2025 19:48,really greedy back pirate maybe ahoyyy,0.1,0.1,Positive,14,9,4,0.1,0,0,1
Netflix,f3310b22-ada9-437d-a093-e0cab0dad4b0,Chandrakanta BAL,just wow app,5,02-11-2025 19:35,wow app,0.1,1.0,Positive,12,3,1,0.1,0,1,1
Netflix,5f8c6feb-fabc-4a63-a2e1-ad3f958a58a5,George Moyo,I'm happy to Us this app,5,02-11-2025 19:32,im happy u app,0.8,1.0,Positive,38,4,23,0.8,0,0,1
Netflix,e7b2ab57-10b3-48ce-a93d-d8e84e17da0b,Jonel Baldemor,can't access on movies my due date is NOV 5 i can't use it since 1 week already,3,02-11-2025 19:12,cant access movie due date nov cant use since week already,-0.125,0.375,Negative,38,1,23,-0.125,1,0,0
Netflix,43a8ca97-9c25-445d-ac12-bb7b4f77f292,f ndolo,so gooddddddd,5,02-11-2025 18:53,gooddddddd,0.0,0.0,Neutral,33,5,21,0.0,0,0,0
Netflix,831ba1c3-115e-4a0e-9558-cb215d35be4c,Kampala Uganda,Good movies,5,02-11-2025 18:43,good movie,0.7,0.6000000000000001,Positive,14,3,10,0.7,0,0,0
Netflix,4381111b-4af7-42f8-b1b8-1a360f954de8,Opra Andola,can you add English subtitles to all shows? i downloaded it to watch Naruto but was left disappointed with the lack of English subtitles,1,02-11-2025 18:42,add english subtitle show downloaded watch naruto left disappointed lack english subtitle,-0.1875,0.1875,Negative,7,8,16,-0.1875,1,0,0
Netflix,d3b545c2-44c2-4e85-b96c-61787ed2e2b9,Marko Despotovic,ads and still have to pay to watch,1,02-11-2025 18:38,ad still pay watch,0.0,0.0,Neutral,25,5,1,0.0,0,0,0
Netflix,421135be-cb79-4965-8c60-156513a633e3,Fiza Shukri,movie terbaik,5,02-11-2025 18:05,movie terbaik,0.0,0.0,Neutral,19,2,13,0.0,0,0,0
Netflix,756b23aa-68ef-4d27-952a-4482f1377092,Swage Constars,I love Netflix for real,5,02-11-2025 18:04,love netflix real,0.35,0.45,Positive,8,8,22,0.35,1,0,0
Netflix,6e8a8d5f-72f0-4cf4-982d-42718bb4d487,Arika Es,I like to watch new movies here!😍,5,02-11-2025 17:26,like watch new movie,0.13636363636363635,0.45454545454545453,Positive,42,7,14,0.13636363636363635,0,0,0
Netflix,1abe57aa-4896-428f-931b-e01f9bfe7f96,Shamaila Yousaf,amazing! works well but sometimes the screen just freezes although I didn't do anything?! I keep refreshing the site but it's not working. FIX THIS BUG!!,4,02-11-2025 17:07,amazing work well sometimes screen freeze although didnt anything keep refreshing site working fix bug,0.55,0.95,Positive,25,2,15,0.55,0,0,0
Netflix,55de641e-aa37-4c14-b11f-6decb518110b,Bobbie Mcconkey,I love the show love is blind and can only watch it on Netflix,5,02-11-2025 16:32,love show love blind watch netflix,0.16666666666666666,0.6222222222222222,Positive,6,8,3,0.16666666666666666,1,0,0
Netflix,5bdc7f20-1f01-4f27-8f40-902f00b40c9d,Suzane Sham,I love Netflix! I watch movies on dramas on Netflix like everyday. Even my kids love it. Sometimes i watch it on my phone. Its good because i can lock my profile and i can setup my kids profiles to kids. Easy to monitor,5,02-11-2025 15:48,love netflix watch movie drama netflix like everyday even kid love sometimes watch phone good lock profile setup kid profile kid easy monitor,0.38666666666666666,0.6466666666666667,Positive,26,1,13,0.38666666666666666,0,0,0
Netflix,bd136bce-e35d-4b4d-ae2e-8e01bad682c8,Robyn Thomas,I enjoy netflix it has the best selection of things to watch for the whole family it keeps you informed of any changes that may affect your watching I have suggested to few of my friends to check out the app from a very HAPPY CUSTOMER ROBYN,5,02-11-2025 15:48,enjoy netflix best selection thing watch whole family keep informed change may affect watching suggested friend check app happy customer robyn,0.6,0.55,Positive,8,6,3,0.6,1,0,1
Netflix,66fab281-2c35-4f69-8f18-4eba3cc63ecd,Amit A.G,deleting as I can't log into multiple devices . I travel for my work and I have to access my email every time I have to watch something. it's annoying. prime or Disney is much better. unsubscribing Netflix .,1,02-11-2025 15:39,deleting cant log multiple device travel work access email every time watch something annoying prime disney much better unsubscribing netflix,-0.10000000000000002,0.4666666666666666,Negative,48,6,1,-0.10000000000000002,1,0,0
Netflix,17d78f33-aa57-4ea1-a5df-185034d448ce,Nur raudhah Nur raudhah,Amazing app for movies and series! Great recommendations and HD streaming,5,02-11-2025 15:33,amazing app movie series great recommendation hd streaming,0.7000000000000001,0.825,Positive,20,8,4,0.7000000000000001,0,0,1
Netflix,bfcdaec7-ef3e-4087-a336-a669d941bd7f,Magdy Mostafa,it's awful one,1,02-11-2025 15:29,awful one,-1.0,1.0,Negative,24,7,3,-1.0,1,0,1
Netflix,a96a244b-66d1-4cf7-bc93-bfdd9760dc8a,Zahid Ahmad,I don't like the fact that you slow down downloads. Absolutely abhorrent.,1,02-11-2025 14:39,dont like fact slow downloads absolutely abhorrent,-0.5,0.6,Negative,42,2,22,-0.5,1,0,0
